Chain,Token Symbol,Value,Type,Contract Address
cronos,USDC,0.0,Claimed Fees,0x7f91f3111b2009eC7c079Be213570330a37e8aeC
cronos,USDC,0.0,Unclaimed Fees,0xE27BFf97CE92C3e1Ff7AA9f86781FDd6D48F5eE9
cronos,NUSD,0.0,Claimed Fees,0x7f91f3111b2009eC7c079Be213570330a37e8aeC
cronos,NUSD,19520.730325733897,Unclaimed Fees,0xE27BFf97CE92C3e1Ff7AA9f86781FDd6D48F5eE9
cronos,nUSD,1184.084065494514,Swap Unclaimed Fees,0xCb6674548586F20ca39C97A52A0ded86f48814De
cronos,USDC,1177.57966326,Swap Unclaimed Fees,0xCb6674548586F20ca39C97A52A0ded86f48814De
