Chain,Token Symbol,Value,Type,Contract Address
metis,METIS,13279.699999999999,Claimed Fees,0xEAEC50eBe1c2A981ED8be02C36b0863Fae322975
metis,METIS,0.0,Unclaimed Fees,0x06Fea8513FF03a0d3f61324da709D4cf06F42A5c
metis,m.USDC,1342040.806754,Claimed Fees,0xEAEC50eBe1c2A981ED8be02C36b0863Fae322975
metis,m.USDC,0.0,Unclaimed Fees,0x06Fea8513FF03a0d3f61324da709D4cf06F42A5c
metis,WETH,0.0,Claimed Fees,0xEAEC50eBe1c2A981ED8be02C36b0863Fae322975
metis,WETH,0.0,Unclaimed Fees,0x06Fea8513FF03a0d3f61324da709D4cf06F42A5c
metis,SYN,1689.4053788054698,Claimed Fees,0xEAEC50eBe1c2A981ED8be02C36b0863Fae322975
metis,SYN,270.6267716983036,Unclaimed Fees,0x06Fea8513FF03a0d3f61324da709D4cf06F42A5c
metis,NUSD,0.006538346763889869,Claimed Fees,0xEAEC50eBe1c2A981ED8be02C36b0863Fae322975
metis,NUSD,112274.216168075,Unclaimed Fees,0x06Fea8513FF03a0d3f61324da709D4cf06F42A5c
metis,NETH,0.0,Claimed Fees,0xEAEC50eBe1c2A981ED8be02C36b0863Fae322975
metis,NETH,20945.957885809254,Unclaimed Fees,0x06Fea8513FF03a0d3f61324da709D4cf06F42A5c
metis,nUSD,27937.240525960842,Swap Unclaimed Fees,0x555982d2E211745b96736665e19D9308B615F78e
metis,mUSDC,28051.191354038365,Swap Unclaimed Fees,0x555982d2E211745b96736665e19D9308B615F78e
metis,nETH,3173.2821237663366,Swap Unclaimed Fees,0x09fEC30669d63A13c666d2129230dD5588E2e240
metis,WETH,3314.555046538393,Swap Unclaimed Fees,0x09fEC30669d63A13c666d2129230dD5588E2e240
